gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
PDZD7,70.812,92.964,563.383,662.442,243.298,145.217,244.983,57.825,28.818
PRAMEF17,3,0,6.692,35.527,6.687,7.131,13.345,1.067,1
NCS1,2,8,16,69,26,9,24,9,10
TLE3,1661.001,1616.001,2678,2359.001,955.001,206.001,727,177.999,48
AC007224.1,0,0,6,3,0,1,0,0,0
RNU6-1339P,3,3,1,1,0,2,3,0,1
MED6P1,8,5,14,22,6,4,10,0,0
EIF4BP8,0,4.011,3.007,35.503,4.03,15.347,13.121,6.072,1
AC126755.2,70.617,167.417,306.607,150.168,93.205,7.918,62.665,5.57,3.579
NPM1P14,1,9,8.561,42.116,9.663,10.325,12.452,3,6
ZNF733P,0,4.203,3.245,69.887,22.866,28.995,34.648,21.41,8.252
AL499616.1,1,10,16,138,37,65,43,34,6
ZIM2-AS1,38.351,191.534,885.922,2334.105,657.384,598.538,832.889,253.655,93.513
ARHGEF2,921.001,1024.998,2084.999,1985,754.002,126.999,595.999,149.001,48.001
LYSMD4,30,34,109.294,148.541,58.029,36,39.855,21,8
RPL41P1,30.773,10.13,0,0,47.608,3.614,8.551,0,3.545
AL049812.2,0,1,2,6,13,8,2,0,1
RN7SL69P,2,6,13.657,15.031,2.136,2,6.735,2,0
FOXA1,2,6,18,76,34,21,42,6,0
AL139158.2,3.265,9.382,13.628,19.58,8.276,5.033,3.433,2.399,0
CNBP,1200.999,709.001,2380.999,2593,671,122,516,70,28
AL137843.1,0,0,0,4,0,0,1,0,0
HMX2,0,1,4,20,6,2,12,1,0
KRTAP10-5,0,0,3,19.13,4,1,4.163,0,0
SOX2,0,12,82,171,56.739,64,41,21,4
AL157902.2,36.411,36.945,110.074,147.859,65.284,21.404,53.376,17.206,3.766
GK5,788.868,752.475,2442.349,2604.129,1066.974,320.544,907.744,238.713,71.134
CITED2,188.001,147,406.001,445,134,31,183,13,12
OR2B11,41.74,77.657,363.015,856.064,255.624,262.716,326.848,95.992,23.18
AC099548.1,0,2,0,23,7,3,10.024,0,0
DDX11-AS1,2.176,10.757,23.971,102.568,26.23,45,28,9,4
HNRNPA1P6,2.076,0,15.268,83.242,23.441,48.399,39.159,24.651,5.131
MRPS11P1,0,0,1,13,0,1,5,0,0
VDAC1,147.101,130.314,263.034,490.446,126.012,91.275,197.544,35.151,23.898
MUC12,12,27,113,834.044,276,78,289,45,10
RNU6-242P,2.736,1,5,6,1,1,2,0,0
AC073091.2,0,0,4,22,8,8,9,1,1
FYN,267.517,207.141,651.42,626.906,260.364,128.865,360.146,57,33.999
KLHL31,2,7,27,172,29,58,68,21,11
AL161937.2,0,4.091,0,22.249,6.061,6.161,11.207,1,0
AC004884.2,0,1,226.729,82.021,20.519,8,36.819,1,4
AP003733.4,82.933,48.118,146.36,135.401,65.409,34.353,53.486,23.155,5.749
ENPP4,87,83,458,302,64,61,177,30,4
H3F3BP1,0,1.258,3.048,20.618,0,1.255,3.082,1.327,0
AC090826.2,54.82,78.852,192.227,289.142,118.255,46.273,105.466,35.598,9.802
AP4B1,269.988,287.903,464.022,407.041,126.683,49.648,144.796,18.271,12.348
AF235103.1,0,0,4.514,18.652,3.21,0,13,0,0
AC093227.1,20.495,42.386,68.593,46.426,24.932,12.217,19.282,4.388,2
AC067969.2,0,0,0,0,1,2,2,0,0
SOWAHD,30,28,28,50,11,3,12,3,0
OLR1,33.008,33.585,328.873,318.643,108.724,46.051,213.82,18.907,5
AP001993.2,0,0,4,12,8,3,5,0,2
AC016559.2,0,0,2,4,2,1,2,2,3
LRTM2,0,5.999,7,47.999,14,19,25,5,2
CERS5,580.184,713.244,1396.902,1684.867,596.071,323.655,489.988,131.148,43.795
AC055855.2,20.704,34.209,78.125,100.578,28.222,7.01,24.194,8.822,1.828
LEFTY1,3,2,4,17.802,5.365,5.735,4.117,1,0
AP001150.1,1,1,11,47,17,22,22,12,2
RNU6-288P,0,0,2,3,2,1,2,0,0
AC004637.1,0,1,2,7,5,1,0,0,0
ZNF426,473.069,560.692,1536.985,1941.917,603.539,235.884,590.913,134.835,60.63
MIR543,0,0,0,7,3,0,0,0,0
SUV39H2,53.862,36.692,270.915,357.527,98.033,36.413,112.036,20.171,13.309
AL365273.1,35,20,103.446,106.769,39.886,18,33,6,3
CDKN2A,10,14,17.037,90.139,31.158,18.001,49.23,4,3
AC073913.1,0,2,4,24,2,8,14,2,5
PRKX-AS1,0,0,22,23,12,2,10,0,0
AC008554.1,12.646,11.713,28.725,64.062,17.804,5.426,23.98,2.212,1
RNU6-1027P,0,0,0,2,0,1,1,1,0
BX890604.2,0,0,0,5.116,0,4,3,2,0
AC112219.1,0,1,1,15,9,3,14,3,0
NDUFAF3,98.999,110,245.948,144.903,100.967,12,32.716,18,11
NCK1-AS1,34.415,32.798,78.702,75.883,47.202,19.101,36.493,17.113,5.114
AC004862.1,9.081,15,39.243,129.953,37.077,40.072,46.155,16.226,7.024
NCF1B,976.199,1138.137,1838.637,2608.4,532.38,106.248,558.348,92.39,40.703
AP005436.3,0,1,0,16.281,2,4,17,0,0
ZNF383,489.505,649.122,1403.562,1612.202,614.002,216.793,461.179,148.881,56.158
AC008641.1,0,1,3,4,1,0,3,1,0
KCNE4,70.761,250.313,2295.142,3877.084,1199.268,839.774,1366.572,373.867,93.74
NPNT,1,15,18,234.352,59.65,69.999,75.821,33,17
UBE2Q2,73,53.001,190.324,261.171,124.829,37,101.657,18,12
AC096541.1,0,1,3,36,8,8,15,4,3
AC092490.2,1,2,0,6,0,0,3,1,0
OFD1P18Y,0,2,0,19.897,5.164,9,20.385,0,0
C9orf135-AS1,8.093,4.001,29.106,45.981,19.702,5,10.386,5,2
ATXN1,1958,1037.001,4726,6239.829,1419.999,276,1283.642,172,71.001
AL445669.2,8,2,13,19,8,2,7,1,0
C11orf42,1,1,113,69,34,9,11,0,0
MIR3130-1,0,1,0,0,1,1,0,0,0
RNU6-595P,0,0,168,354,72,3.172,52,0,0
AP001981.1,0,0,3,23,4,9,4,8,0
PRY2,0,3.5,0,54.22,6,3.695,8.84,0.583,2
AC245517.5,0,0,2,8,0,0,1,0,0
MRPS10,134.37,100.52,313.516,399.293,123.953,65.694,138.767,12.113,6.673
RARRES2,0,3,3,42,12,10,11,3,1
AL139286.1,0,0,94,53,21,4,13,3,1
HSPD1P16,0,0,1,11,1,3,2,0,0
LINC02405,0,2,3,37,10,11,12,4,1
CCT6P1,52.376,33.005,123.545,94.87,51.479,12.663,38.897,11.601,2.939
PCNAP4,0,1,2,14,3,5,10,0,0
CCDC80,85.918,158.145,609.228,1503.441,502.321,386.559,539.334,167.969,64.582
AC112173.1,11,10,39,53,26,0,9,2,0
TSSK6,15,12,11,19,11,8,8,1,0
CLEC2B,288.195,281.632,1317.795,2065.591,402.261,266.404,407.319,88.159,26.085
IGKV2D-19,0,0,0,3.003,1,0,0,0,0
S1PR5,46.389,37.034,64.592,146.202,57.415,17.37,39.564,11.111,1
BX510359.5,0,0,2,7,0,0,3,0,0
SNORD25,91.627,33.677,33.113,2.613,12.819,24.931,0,5.955,1.967
SLC35G4,0,0,1.018,10.037,1,2.259,3.116,0,1
AL121944.1,10.146,10.192,55.702,55.765,19.733,5.167,9.519,5.863,1.429
AC124067.4,3,0,13,64,15,8,16,13,2
ACP7,47.939,78.788,174.222,257.124,81.452,46.258,95.594,27.967,9.289
CDC37,79.999,47.001,110.001,193.411,60,13.021,70,8,3
AL121900.1,0,1,176,65,31,3,33,7,0
HNRNPA3P10,0,1.039,8.694,54.01,13.247,17.007,19.92,10.28,1.054
AC243836.1,0,2,1,8,4,1,3,0,0
OSM,62,32,43,53,39,10,16,4,0
VGLL2,0,1,3,31,10,22,12,8,3
AL136228.1,0,1,3,5,3,1,1,1,0
METTL21AP1,10,10,31,40,12,6,5,2,1
SNHG5,4526.554,2252.516,1928.072,648.869,320.629,212.985,181.435,63.49,20.295
CYP4F23P,0,1,3.001,26,8.011,7,12,1,1
BORCS7,109.372,87.251,209.221,227.099,88.853,52.413,79.855,26.911,10.489
WNT5A-AS1,0,0,0,3,5,5,4,2,1
LRRC37A12P,2,0,3,17,2,4,20,3,0
KRT18P19,0,2,3,23.806,4.732,2.326,0,0,2
IGHV1-18,86.385,58.503,88.874,9.704,5.088,3,7.224,1,1.459
NBPF3,56.115,115.668,231.998,563.197,232.065,157.484,234.288,50.806,16.748
GABRA6,2.317,4,16.401,136.703,42.564,52.046,48.458,11.998,2
AC127070.3,76.476,145.44,431.016,824.81,262.112,165.407,317.969,89.707,36.095
AL590808.1,0,0,0,0,0,0,0,0,0
AC019209.1,2,0,2,9,4,3,8,0,0
CBX3P4,4,1,4,16.79,3,3.717,6,4.955,0
LRRC7,22,40,101,415,101.001,139,152.227,50,21
KRTAP20-1,0,0,0,3,1,1,1,1,1
AC015468.4,0,1,0,15,8,6,1,8,0
AC211476.3,33.562,30.311,62.926,45.158,15.418,14.066,21.367,0,6.522
AC022405.1,16.928,31.514,68.764,128.16,50.828,16.837,30.18,11.788,1.153
CHIC1,94,79.001,223,293.865,108,62.159,101.261,29,16
AC021739.3,0,3,1,14,4,1,4,0,0
RN7SKP79,13.869,20.89,31.961,68.913,26.385,27.186,47.4,22.357,4.567
AF131215.1,0,0,55,36,10,0,18,0,0
SSBP3-AS1,1,4.002,39.012,67.109,22,11,44.129,8,2
YWHAZP2,0,0,4.133,9.519,3.149,5,8.36,4.34,0
RPSAP50,0,0,1,9,4,3,5,5,1
MIR411,0,0,3,1,4,0,0,0,0
NIPA2P4,4,1,7,25,8,8,10,4,0
SH3BGRL3,229,215,1305.456,1526.497,388.18,58,285.334,68,17
CCNG2P1,0,0,0,30,11,11,7,1,4
AP001267.2,25.19,49.489,219.974,383.561,135.208,61.048,116.318,16.671,3.82
SUPT5H,183.614,188.71,375.31,524.044,214.729,65.307,185.454,47.821,11.933
SOSTDC1,1,0,14,83,18,14,24,3,5
CPS1,28.459,52.326,118.678,414.403,100.82,165.203,185.621,80.347,20.918
PRELID1,244.012,244.175,531.791,562.183,161.162,33.453,93.13,26.697,11
RNU6-686P,0,2,1,4,2.911,0,3,0,1
PHEX-AS1,1,3,7,38.124,2.01,12,11.299,2,1
KRT8P15,0,1,6,17,2,2,6,3,0
LGI3,0,1,9,56,19,18,29,16,5
AC004233.3,138.624,149.572,244.292,157.566,77.921,16.027,44.474,17.301,6
APOOP1,0,1,1,8,0,2,2,0,1
AC006455.5,0,1,0,106,0,6.291,0,1,2.875
MDFIC,285.771,298.426,688.734,651.641,213.598,96.728,257.998,63.786,26.674
AL805961.1,12.873,38.745,319.61,575.972,214.888,116.339,255.592,47.105,14
CYP21A2,0,2,8.173,40.636,11.222,7.73,29.906,3,1
C2orf49,239.006,205.751,562.11,791.596,223.855,83.729,211.496,37.01,14.689
OTX2P1,0,0,0,3,1,0,5,0,0
AC136619.1,0,0,0,0,0,0,0,2.545,0.5
AC012442.3,3.506,26.749,28.473,105.127,43.145,24.644,35.435,14.493,2
CROCC2,3,6,6,96.59,27.364,23,54,7,4
DGKI,4,34.001,63.001,432.999,135,188.001,158.999,79,30
NXNP1,0,2,4,20,0,0,7,3,0
AGGF1P4,0,1,4.575,18.74,6.305,12,4.275,1,3
OGFOD3,86.474,101.421,148.657,208.151,88.281,45.864,94.912,18.29,17.38
ATP5L,528.932,420.935,1610.784,1039.002,415.019,61.001,175.998,112,88.999
AC004448.2,0,0,2.399,10.673,3.681,8.394,11.424,1,0
AL445189.1,0,0,7,14,5,3,6,0,0
LSM1P1,0,0,1,7,3,0,1,0,1
AL049794.2,0,0,5,6,1,0,1,2,0
RNU1-47P,0,0,0,4,0,0,0,0,0
LINC00294,201.608,205.302,519.348,488.044,189.727,38.371,200.498,31.463,16.661
AC253576.1,1,1,3,19,5,6,9,1,2
C3orf85,0,3,6,57,16.001,20,26,11,1
ADPGK-AS1,14.281,9.013,302.926,207.558,130.813,19.194,73.188,10,2
AC093833.1,0,0,1,1.616,0,0,0,0,1
RPL21P12,2,1,1,5,2,0,2,1,0
AC073575.1,37.3,38.178,154.622,180.336,92.195,37.573,62.486,19.957,5.493
OR11J2P,1,0,2.019,6.559,4.545,5.554,0,0,0
AC107079.1,4,14,21,106.776,39.764,24,37.291,15,2
KCNG3,0,7,8,96,36,36,31,6,3
RPS8P10,0.505,1.51,0,8.041,0,0,2,2,0
KIAA1024,6,18,72,150,46,27,73,12,5
AC005040.1,0,0,5,27,8,11,4,4,2
AL592166.1,0,1,3.026,8.202,3,0,5,1,0
MTND4P16,0,1,13,52,10,12,7,0,0
LINC01701,0,1,1,15,1,8,5,4,0
AL928742.1,3,5,4,25,12,2,9,3,0
ZNF865,26,20,40,94,29,7,58,14,2
AC069218.2,0,1,2,10,6,5,4,1,0
HMGB1P51,0,7,265.744,194,81,8,22,5,0
PLEKHF1,2,5,8,17,7,3,20.001,1,1
DMAC2,158.646,188.278,461.901,537.597,188.631,112.749,139.898,27.056,20.993
MIR135A1,0,0,6,3,4,1,2,0,1
RN7SL577P,5.058,4.06,28.24,25.985,4,6,6.547,1,2
PTF1A,0,0,3,20,8,5,6,2,0
AC093762.3,0,0,0,4,0,0,2,0,0
AC092905.1,0,1,1,21,3,16,9,2,3
AL360268.1,0,1,12,11.819,5,0,5,0,0
RNU6-841P,1,2,1,0,1,1,1,0,0
CLOCK,125,114,550,1599.999,262,147,324.999,59,16
AC073964.1,1,0,1,13,2,1,0,3,0
AL391666.1,13.464,12.249,95.582,161.656,44.538,38.509,48.954,8.334,3.314
SLC16A12-AS1,1,0,1,12.287,5,7,5,2,1
AC146944.4,35.039,24.721,86.092,45.756,39.891,11.164,3.668,17.657,0
LINC02332,0,0,0,4,0,2,1,0,0
LINC01050,3,1,2,19,8,3,5,1,0
MTATP6P24,0,0,3,30,14,4,9,0,0
DNAJB7,10.404,23.158,219.062,426.773,130.941,44.638,132.374,15.263,9.736
RNU6-1297P,0,0,17,6,9,2,13,0,0
SOS1,609,330,1247,2193,416.002,151,618.999,65.001,41.999
AC005524.1,0,3,11.562,52.656,16.149,33.487,21.212,10,2
ZNF780B,467.912,417.551,1179.62,1077.431,366.277,157.215,391.063,71.17,28.118
MMGT1,300,171,579,692,241,44,215,23,16
ACTL7B,1,7,10,38,13,9,15,2,1
SGPP2,103.743,87.145,158.371,219.064,77.118,36.057,75.436,18.506,5.104
IFT80,157.116,225.124,489.813,876.949,279.626,198.958,301.026,79.249,27.448
FOXN3,755.89,654.444,2041.493,2855.939,768.834,273.874,829.966,136.216,63.327
MIR499B,0,0,0,0,0,0,0,0,0
AC104758.3,1.188,5.337,3.402,52.459,8.573,22.683,10.313,8.416,1.044
AP000473.2,0,1,7,56,8,11,16,2,6
AC073052.1,16,9,25,94,21,12,39,4,4
AL589935.2,5,12,30.008,64.325,15.804,31,22.982,7,3
ADAM22,13,37,125,434.998,115.999,113.999,187,43,16
AC092139.3,3,16.052,896.658,1044.234,331.349,64.131,221.176,23.711,9
EPDR1,2,9,30.157,95,34,33,26,4,2
AC008993.1,10.099,34.696,500.899,659.213,236.697,121.279,227.068,54.312,12
RNU6-1109P,0,0,0,1,0,0,1,1,0
AC005972.2,0,0,16,24,5,1,5,1,0
LINC01626,0,1,1,15,3,1,10,1,0
AC079363.1,99.338,137.133,189.699,197.401,57.188,33.909,63.806,20.275,8.593
MIR409,0,0,0,0,1,2,1,0,0
LHX3,0,4,1,31,11,5,14,1,1
OR4X1,0,0,5,14,1,2,5,4,1
LINC01076,0,1,0,1,1,0,4,0,0
AC106806.2,0,1,4,13.125,6,4,6,1.128,0
AC107934.1,0,0,0,9,2,5,5,2,0
AC080162.1,1,4,105,92,46,3,13,2,1
AL592463.1,34.956,27.693,78.001,77.715,25.285,17.173,21.341,8.052,7.157
GUCY2EP,2,3,3,42,9,8,20,9,3
AMPD1,0,4,9,81,25,28,28,10,0
AL357556.1,63.771,41.378,133.708,188.082,70.708,9.278,61.561,10.917,5.379
AC100797.1,2,9,13,23,13,0,2,3,0
OR7H1P,0,0,2,16,1,2,5,1,1
CD40,28.384,61.664,110.308,404.23,78.758,107.89,119.306,48.098,13.788
IGLV2-28,1.053,2.053,0,1,0,1.061,4.269,0,2
UQCRHP1,0,2,1,13,4,2,11,3,0
RN7SL568P,0,0,0,4.053,2,0,3,0,1
AC093166.2,0,1,2.015,38.33,19.277,24.86,24.623,4.563,6
OR3A4P,1,0,1,20,15,3,8,0,2
GAPDHP50,0,1,1,11,4,5,3,3,1
AL162274.3,63.81,64.677,157.807,325.16,122.6,45.894,110.11,30.774,6.002
RNU6-101P,0,0,5,5,0,0,2,1,0
AC012317.1,0,0,1,8,1,5,2,3,2
ANGPTL8,0,1,2,9,5,4,4,3,0
HEYL,1,0,7,88,19,13,25,2,0
ABHD17AP1,0,0,2.759,1.589,3.471,0,0,0,0
HAUS6P3,1.033,4.611,11.562,14.749,2.204,6.783,3.617,2.411,1.081
AL121580.1,17.368,26.005,30.984,49.171,20.403,0,11.268,2.306,0
DSCAM-IT1,0,0,6,28,9,6,16,0,1
OR5J1P,0,2,0,14,6,6,5,4,0
MRPL53P1,0,0,38,49,9,1,8,0,0
MIR4646,1,0,4,5,2,2,0,0,0
AC068587.6,644.87,2006.001,11781.568,22586.341,7058.612,6671.458,9321.982,2361.468,795.833
AC092017.1,0,0,3.061,9.296,1.041,0,1.015,0,0
OR7E13P,0,0,7.342,15.849,5.592,3,5.465,0,0
SLC30A7,754.11,599.398,1541.691,1957.692,634.315,106.389,528.32,56.508,40.618
AL139415.1,3.385,6,1.059,14,1,4,4.427,3,0
RPL12P12,0,3.225,7.08,12.97,5.44,0,8.379,0,0
FTX_4,1,1,0,0,0,0,0,0,0
AL031686.1,0,1.161,16.293,91.795,38.17,41.952,36.233,9.939,7.41
RNU6-371P,0,0,0,2,0,1,1,0,0
AL512324.1,1,0,0,3,1,1,0,0,0
HSPA7,297.668,118.781,252.939,59.763,31.48,3.368,25.589,0,0
AC004129.2,0,0,1,8,3,0,2,0,1
AC062016.1,0,0,3,9,2,0,6,0,0
RNU6-460P,0,0,0,3,2,0,0,2,0
NPM1P43,0,1,11,29,9,21,11,3,1
RN7SL242P,7.322,3.813,7.34,17.976,7.408,0,4.985,1.226,1.355
RPS29P29,0,1,0,3,2,1,1,1,0
MIR488,0,2,0,3,2,7,1,1,0
AC018359.1,1,1,0,32,10,12,20,4,3
AC027779.1,0,1,2,22,5,4,9,3,1
AC015795.1,0,3,9,36,10,2,8,1,3
MIR646HG,114.977,118.479,504.82,371.349,145.878,48.655,120.876,26.089,8.112
ADAMTS6,21,20.001,77.999,268.999,57,80,108,20,8
GOLGA2P6,0,0,0,7.529,5.37,4.052,1.906,1.753,0
AC108359.1,1,0,3,23,4,10,10,7,0
AC128713.1,0,0,1,10,1,8,2,0,0
TPSD1,1,4,17,72.014,29.329,6.216,40.666,1.027,1
DUX4L26,12.505,5.341,36.467,194.626,38.892,48.678,51.811,34.478,6.696
HMGB3P15,0,4,7,26,10,13,5,6,3
AC007349.4,0,2,6,28,11,2,7,0,1
NAT8L,2,3,8,71,18,11,29,15,3
HMGA1,46,62,72.136,161.01,49.472,12.553,75.743,17,4.761
AC078814.4,0,2,0,3,4,2,4,3,0
AC004987.3,0,0,2,25.239,7,12.428,7.838,11,3.937
CIPC,97.653,103.973,251.621,287.416,91.709,41.246,127.646,25.398,5.664
hsa-mir-548d-1,12.978,11.964,33.74,77.329,22.698,43.758,22.171,18.902,3.24
AL365265.1,0,1,0,4,1,8,0,1,0
SUV39H1,15,21,28.492,47.994,17.155,7,11.732,3,1
AL136018.1,47,44,183.985,285.688,79.856,48.703,66.683,22,16
AC092809.3,0,0,0,3.109,2,0,4.56,0,0
RNU6-246P,0,0,0,3,0,2,0,0,0
AC005609.1,0,1,1,2.784,3.598,2,0,0,0
DUTP5,0,0,1,24,2,3,5,1,0
AL354993.1,233.734,250.93,501.816,1087.539,310.138,192.539,371.121,96.784,28.125
AC013356.1,0,1.002,2.031,22,9.017,10,7,5,1
AC008781.2,2,4,473,592,178,27,179,3,3
MIR615,0,0,0,2,2,1,0,0,0
MTATP6P26,2,3,35,170,23,6,25,6,0
LINC02004,0,0,0,5,0,1,3,0,0
AC025588.2,1,1,0,3,0,5,1,3,1
RNA5SP300,0,0,0,0,1,0,1,0,0
AL355863.1,0,0,0,2,0,0,0,0,0
AC004771.2,1,0,20.618,24.163,8,0,4.353,0,0
TSPOAP1,74.25,122.352,195.635,279.288,115.617,57.188,118.949,37.032,13
UGP2,320.835,188.001,830.044,1247.045,336.505,107.323,329.676,73,35.999
ARAFP3,0,2,0,0,4,0,0,0,0
AC103810.1,17.708,47.576,172.934,303.714,127.297,93.735,132.188,50.844,7.64
TRAPPC6B,555.156,442.219,1620.116,1396.251,504.675,135.5,312.148,131.184,60.442
PLXNB1,8,11,20.999,114.999,31,20.001,68,21,5
PGK1,1143.17,1014.327,2539.468,4727.4,1302.238,193.948,738.873,122.676,47.963
AC016877.3,0,2,1,13,5,5,5,0,0
RPS23P3,0,1,1,12,1,1,5,2,0
AL162385.2,0,1,10,10,4,0,1,1,3
RN7SKP94,0,1.693,5.296,13,3.889,2,5,0,0
SEC24A,413,350,828.752,885.96,289.878,100,246.016,46,15
DHX33,92.538,124.996,255.232,326.239,121.789,63.268,120.021,31.43,11.577
NPAS1,1,3,3,36,9,3,11,1,0
AP001782.1,12.985,14.294,12.596,30.942,10.203,10.422,17.633,9.527,0
TOR3A,169.5,173.278,429.334,446.394,334.184,68.997,159.383,42.994,10.92
HMGN2P16,0,0,0,2,0,0,1,0,0
MGAT5,301.927,334.503,936.99,888.358,328.424,86.545,353.484,57.636,19
OR51A5P,0,2,4,29,12,4,13,2,0
AC012506.4,10.515,6.227,22.703,56.304,16.5,12.591,10.422,3.225,2
BEND2,58.04,94.836,309.01,383.579,107.681,53.15,117.473,36.055,14.403
SETD7,623.024,367.892,1498.097,1405.861,475.952,227.389,506.604,103.978,28.845
PGD,1604,1176.001,3381.991,3956.73,1080.956,136.791,903.985,144.001,36
ZDHHC23,67.001,59.999,92.668,233.999,60.832,64,113.772,20,4
RNA5SP375,0,0,2,3,1,0,2,0,0
TPRKB,93.667,84.453,292.357,291.678,91.367,28.135,97.464,19.015,9.999
MIR361,0,0,0,2,0,0,0,0,0
PPP2R3A,17.128,51.591,692.727,933.995,273.834,100.534,276.945,62.865,9.99
RN7SL104P,0,0,3,3,2,3,1,3,0
IL18BP,26.999,46,108.698,164.615,41.789,19,67.145,8,1
GRK7,13.123,14.203,119.492,150.266,48.878,50.675,60.405,20,3
AC243773.2,2,5,11,66,15.999,17,22,12,1
CACNA1G-AS1,0,1,4,27,8,3,7,1,0
MYCLP2,0,0,3,5,0,0,1,1,0
TM6SF2,0,3,0,18.304,8.325,6.181,10.134,0,0
SRY,0,0,1,14,2,3,3,1,1
CCK,1,3,4.154,16,6,2,4,2,1
AL442125.2,9,11,43,66,33,7,21,0,0
AC078776.2,0,0,0,9,0,2,2,1,1
AL161630.1,0,2,5,49,12,11,19,4,0
AL138787.2,2,3,67.176,35.24,17.447,4,13.236,0,3
AC025219.1,44.181,65.862,137.079,230.814,59.827,23.565,46.037,17.551,5.294
TOMM70,128.583,102.278,266.304,370.964,88.203,87,147.041,41.229,12
AC099654.15,1,0,13,30.539,8,7,12,2,0
ZDBF2,87.616,110.96,232.473,444.83,133.662,147.029,170.104,47.191,27.634
AP006248.1,0,0,0,0,0,1,3,0,1
TMEM75,1,1,52,79,26,28,32,5,2
AC244452.3,1,0,4,14,2,3,3,1,1
AC137894.1,0,0,0,4,0,1,1,2,0
LINC02355,2,5,9,80,9,20,26,10,4
RAB15,3,8,177.001,161.001,31,15,65,7,2
DENND2D,245.999,304,876,635.999,288,53,294.001,26,21
GPNMB,17.273,27.688,103.09,269.735,100.086,61.329,107.199,37.316,9.466
DUX4L28,0,0,0,0,0,0,0,0,0
snosnR66,0,0,1,10,0,2,1,0,0
AC008560.1,19,21,42.647,105.658,34,15,25,9.915,1
SNTB1,100,79,182.686,574.63,161.236,58,163.558,49,14
IGHV3-47,3.251,0,1.028,14.208,1.016,0,1.131,0,0
CRLF3,1146.408,963.869,2961.266,2598.368,740.53,180.434,700.303,145.649,70.806
GAPT,140.999,97.999,396.834,1165.735,123.392,66.999,314.708,32,14
SEC31B,193.048,238.981,497.675,443.876,199.551,76.995,206.391,40.879,15.8
RN7SL536P,0.5,0.667,0,0,0,0,0,0,0.333
AC002524.1,0,1,3.135,7.549,0,0,2.351,0,2
AL512430.4,0,2,18,21,5,4,4,1,0
AQP7P5,0,0,0,42.518,8.112,0,8.187,5.515,0
AC010087.1,0,0,12,3,0,2,4,0,0
PABPC1P8,2,27.421,42.926,170.81,50.405,91.465,51.623,26.939,0
AP000797.1,0,0,0,5,6,5,3,5,0
AP003486.1,59,59,169,317,92,35,115,6,3
RPL12P5,0,0,1,5,5,1,1,0,0
AC090164.4,1,0,1,7,0,1,0,0,0
CASKIN2,2,1,12.001,56,17,12,24,4,1
MIR1277,0,1,2,2,0,0,0,1,1
TTTY16,0,1,1,18,1,5,4,2,0
AL136380.2,0,0,4.03,14.034,6.033,3,2.026,0,0
TMEM251,51.824,13.4,74.132,96.423,18.611,15.381,21.005,4.904,2
C14orf2,354.032,333.348,942.41,692.949,299.22,75.42,227.862,49.122,17.893
CDC20,9,8,24.89,42,15.921,12,14.75,6,3
ETV3,186.226,136.405,449.951,665.517,195.03,85.677,219.477,45,21
C9orf92,0,0,4,9,5,7,5,1,1
RNA5SP37,63.644,33.891,81.033,17.818,37.283,42.878,7.952,17.057,5.268
SLC10A7,123,65,260.999,361,122.999,71,149,28,14
MIR4511,0,0,0,1,0,0,0,0,0
AP003068.1,1,0,0,2.739,0,0,0,0,0
RPL31P1,0,1,2,0,0,0,0,0,0
DUSP4,21.98,31.658,75.684,192.162,45.235,66,67.561,13,5.247
HOMEZ,80.319,94.801,180.455,357.94,99.723,62.515,150.543,36.336,20.04
TIFA,440,157,419.288,2108.649,316.473,62,138.54,34,14
AC011773.1,0,0,5,1,2,0,5,0,0
CFL1P2,1.001,0,9.134,21,4,7,13,4.077,0
AL512444.1,0,0,1,8,3,1,1,0,0
MECOM,22.533,107.965,716.175,2432.735,743.554,859.708,858.923,259.385,87.986
AL161669.2,0,0,0,0,0,0,0,0,0
CSAG4,0,1.166,1,14.546,2,4,3.341,1,0
UBXN1,186.999,159.001,376.999,334,140.001,37.001,95,27.001,8
OR11H13P,0,0,2.664,15.056,5.396,2.509,12.167,3,0
MTRF1LP1,0,0,0,20.603,4.258,4,15.404,0,1
HSD17B2,476.739,524.937,789.638,1342.655,466.157,357.501,475.991,183.164,51.623
SERPINB7,1,3,10,87,18.001,22.001,20.001,17,3
AC134978.1,0,1,0,9,3,5,5,3,0
MICG,0,0,0,6,2,0,2,0,0
AC103681.1,0,0,2,20,9.621,1,3,3,0
RNU6-1143P,2,0,6,4,2,1,6,0,0
MIR3154,0,0,0,0,0,0,1,0,0
SLC9A3,0,0,2,26.114,7,3,10.678,0,0
EPC2,461,440,1280.999,1105,383,99,326,62.001,43
ANKRD36BP1,5.037,33.868,0,0,0,95.876,0,24.092,16.71
AC135068.10,0,0,0,8.426,0,0,0,0,0
PDRG1,31,26,35.324,32.239,6.891,10,11.998,6,1
PEX14,18,13,35.195,108.621,30.121,18,40.147,6,1
IGLV1-47,81.043,56.784,129.783,14.17,11.374,5.626,66.495,4.85,3
AC226119.1,0,0,0,0,0,0,0,0,0
AC239798.3,0,0,2.373,7.035,0,0,0,0,0
CCR2,853.946,422,747,1361.891,633.999,85.999,428,59,20.001
