gene_name,HH001_A1_SA_S1,HH001_B1_SA_S2,HH001_B3_SA_S3,HH003_A1_SA_S4,HH003_A3_SA_S5,HH003_B3_SA_S6,HH003_D_SA_S7,HH003_K_SA_S8,HH003_R_SA_S9
AC007363.1,0,2,1,11,11,7,8,1,2
AC073648.1,0,0,5.965,30.519,4.056,2.297,7.017,3.709,0
GAPDHP67,0,0,0,3,3.006,0,2,0,0
LINC01756,0,3,10,57,12,9,22,8,5
RN7SKP189,3,3,7,8,2,1,2,1,0
AC242426.3,28.877,36.494,122.205,255.621,60.749,47.864,89.288,8.865,5.91
FOXE3,0,2,9,37,14,8,25,5,5
AC087258.2,0,0,0,2,0,0,2,0,0
DCAKD,71.999,70,133.407,143.024,69.71,14,57.718,12,6
AC011445.2,32,27,50,19,6,2,3,4,1
KCNQ4,5,5,8,57,17,4,25,1,0
CDH2,1,2,23.292,126,26.1,45,53,24,6
RPS3AP9,0,3,4,46.045,11,7,15,3,2
EBLN2,123,81,228.685,283,85,21,100,8,5
MIR4529,0,0,0,1,0,1,1,0,0
AC011456.1,0,0,0,2.465,3.234,0,2.09,0,0
DNMT3L,1,3,4,32.831,10.297,3,2.605,2,0
AC093023.1,0,1,0,0,0,2,0,3,1
AC019072.1,0,2,36,28,13,12,18,0,1
STAU2-AS1,6.375,15.726,76.374,151.053,44.559,23.469,51.311,15.072,9.991
AC016708.1,31.089,121.959,807.191,2059.152,659.917,458.602,836.278,157.955,47.439
TRAV22,0,4,10,13,4,5,8,1,1
AC242426.1,0,1,2,34,6.024,9,18,3,0
CST2,1,0,1.174,16,2,3,4,2.619,4
SLA,1708.999,806,2821.001,5430.001,1168,149,1333,117,46
AK3,143.483,152.111,787.225,775.585,285.746,120.302,282.189,63.998,17.222
GBAP1,41.317,63.98,300.292,177.646,62.279,22.617,106.953,8.01,3
AC245100.4,29.498,65.445,430.298,819.132,168.88,51.15,196.411,25.891,5.268
IGHD4-23,0,0,0,0,0,0,0,0,0
PNPLA8,220.98,137.114,475.006,789.329,209.161,117.375,251.224,39.531,24.362
ZNF248,87.235,85.29,220.23,253.652,71.562,60.555,138.242,27.449,13
OR2AT1P,0,0,1,20,5,1,14,2,0
BATF3,4,4,8.999,68,20,7,16.999,11,4
RNU6-468P,0,0,1.148,0,1.135,0,1.165,0,0
ARL4AP3,2,0,6,14,5,11,3,1,0
MIR4777,0,0,1,0,0,0,0,0,0
LINC02033,11,27,97,292.189,52.566,21,52,5,1
AC098848.2,0,1,3,14,1,0,6,0,1
AP000532.1,0,0,0,0,0,1.29,0,0,0
TLR10,603.436,392.325,686.915,1337.994,296.141,95.112,242.992,32.147,10.944
SLC39A10,222,185.001,327.999,357,139.001,80.001,172,32,19
AL359757.1,0,0,3,3,3,1,0,0,0
TBC1D3H,0,0,0,0,0,0,0,0,0
EFNA1,2,2,16,59.999,8,2,17.001,8,3
AC131902.3,0,0,1,13,6,6,3,1,2
BCRP3,4.936,5.194,20.09,36.653,13.847,11.252,8.591,9.781,0
RN7SL397P,7.925,14.4,32.906,64.174,9.7,11.766,18.688,5.613,2.972
ATP5G2P4,0,0,0,5.77,0,0,0,0,0
OR2A2,0,1,2,16,0,2,3,1,3
SNRPEP6,0,1,0,1,1,2,1,1,0
PCMTD2,633.999,504.001,2193.001,1437.008,508.239,100.999,390,96,62
LIPI,1,0,3,58,12,25,29,8,3
CCT5P2,1,1,5,41,18,17,9.09,4,2
BTF3L4,421.562,355.339,985.193,1086.14,380.048,112.46,298.486,74.499,33.059
CAMK2N2,0,0,7,5.25,1.156,3,4.508,0,0
AL133232.1,0,0,1,13,3,1,4,1,0
PDCD4-AS1,111.507,126.656,294.106,302.026,129.742,34.088,85.455,13.619,3.114
RHBDL1,4,10,7,24,2,3,13,5,0
RPL7P19,0,0,4.174,14.196,2.189,1.183,3.13,1.034,0
AL356599.1,81.364,233.064,1955.634,9667.123,2095.16,1056.223,3762.046,357.88,110.709
CPD,2628.781,1247.114,4633.328,6923.952,1852.98,529.728,1999.496,298.6,113.438
ST6GALNAC6,85.497,128.485,200.663,177.221,66.9,39.906,86.085,20.07,3.889
AC027369.2,0,0,4,21,5,5,9,3,1
AC105227.1,2,0,4,11,7,0,7.324,0,0
PAPD4,1388,971,3116,3382.998,1214.999,189.999,630.999,130,105
AC104850.1,1,3,0,5,2,7,3,2,0
LSM11,74.956,76.491,206.265,296.284,106.65,78.332,90.562,42.597,19.288
PRSS44,0,2.624,3,14.55,7.041,1.269,12.099,0,0
AC027243.1,0,1,5.03,3.716,2.973,2,5,4,0
AC010542.3,5.339,0,105.478,52.647,27.713,0,13.068,1.406,0
AC130371.1,0,0,58,60,22,4,22,2,0
AC098657.1,0,0,4,51,9,21,9,9,0
SNORD61,713.867,217.871,107.881,3.423,0.792,2.962,0,0,0
TRBV5-1,7,5,20,9,4,2,4,0,0
PAIP1,87.999,43.118,216.196,373.16,94.386,62.129,107.739,24.001,15
MIR1302-7,0,0,3,0,0,0,0,0,0
CCDC26,6,13,24.245,124.336,29.056,30.317,37.251,15.213,1
AC009464.1,24,23,51,38,10,4,5,3,1
MVB12B,48.442,46,173.301,274.375,86.256,41.199,99.434,24.289,8
AC113167.1,0,0,1,26,5,4,11,5,2
AL355102.5,0,1,1,17,3,0,6,3,0
RNU7-147P,0,0,0,2,1,0,2,0,0
AC078842.1,0,0,3,12,4,3,10,2,0
AP003499.1,0,1,1,16.388,3,3,9,4,0
ZFP69B,19,22,63,78,24,26,34,8,0
CLDN20,0,1,31,52,10,6,22,2,1
SNORD115-40,0,0,0,0,2,0,0,0,0
AC099654.6,0,2,12,26.461,11,4,11,2,1
AL022345.2,0,0,1,3,5,3,2,0,0
AL139413.1,0,1,1,4,1,0,1,0,0
KCNIP2,16,27.999,40.183,75.661,20,11.001,40.999,7,2
SMCO4,32.652,20.774,112.946,170.142,61.853,14.656,37.435,11.302,2.289
NEO1,43.63,97.082,244.34,438.637,137.869,69.925,153.392,28.358,14.063
AC009264.1,43.206,79.082,351.296,953.848,298.739,328.882,353.698,172.179,47.473
FGF13-AS1,0,0,15.239,52.816,19.001,13.8,18.71,3.699,1.644
LRFN1,59.732,67.11,93.202,228.934,58.86,28.428,61.617,12.398,13
AC010776.1,1,3,24.521,31.027,16.586,4,17.562,6.345,2
CYP4Z1,0,1.355,9.231,72.418,25.007,12.055,14.371,4,2
FCGR2B,681.183,511.657,2043.734,2537.121,733.5,147.097,615.135,75.283,31.991
AC017091.1,43.408,111.813,498.949,1729.205,464.966,391.194,777.885,130.465,40.758
RN7SL127P,38.64,22.748,52.155,74.726,21.188,13.653,34.089,9.484,3
Z98751.3,0,1,3,8,4,3,0,0,0
ELOCP30,3,2,2,9,1,5,4,1,0
FKBP1BP1,0,1,1,13,0,0,2,2,0
AF131215.3,5,1,5,13,4,1,5,1,0
SLC6A6,4792.001,4868.999,9858.375,8406.663,3433.726,449.999,2514.68,297,116.999
AC083801.1,0,0,2,3,3,1,1,0,0
AC026367.1,2,2,4,24,9,15,6,0,0
LINC01052,1,3,2,24,6,12,14,4,2
SLFN5,445.774,386.74,1113.926,3446.775,560.651,253.643,859.532,142.131,50.516
FBXW7,508,390.001,1068.641,2035.825,506,194,622.576,81,43
JOSD2,13,10,17,38.999,9,13,20,7,1
AC134312.2,4.436,10,1.201,5.503,0,4,0,2,1
CICP14,1.154,9.873,517.309,240.569,193.215,4.885,110.666,2.127,0
KAT2B,534,362.001,4476.999,4042.999,767,165,1113.999,185,197
CYBA,1750.115,1363.477,1520.468,1732.431,814.57,200.455,267.552,145.043,38.037
AC092580.1,0,0,1,3,0,2,2,0,0
IGKV3-15,246.305,146.969,304.503,5.056,7.153,7.932,16.86,7,2.112
N4BP2L2-IT2,496,306,1647,2391,459,141,458,66,38
HSPA8P13,0,3,0,19,1,9,0,1,0
MIR4659B,0,0,0,0,0,0,0,0,0
MIR7973-1,0,0,0,1.523,0,0,0,0,0
NPY1R,0,8,15,90,26,21,39,7,0
MLIP-AS1,13.261,20.648,111.89,318.985,88.693,85.24,102.866,35.025,10
XIRP1,0,10,6,64,20,6,30,5,4
HMG20A,117.232,117.263,279.367,399.547,117.379,64.199,145.441,47.488,12.051
HMGN1P24,0,2,2,6,4,3,5,2,0
LINC01834,0,0,3,9,4,3,2,1,1
LMLN-AS1,0,2,0,18.519,3,6,2.88,3,1
CEP78,208.444,200.203,555.296,1030.101,358.299,279.803,409.655,145.476,48.182
AL627230.2,13.775,27.387,98.123,323.11,82.021,56.988,108.125,33.392,9
AC093722.1,0,4,2,36.696,8,9,15,1,5
RNU6-473P,0,0,0,1.099,3.477,0,2,0,0.333
DKK2,0,3,10.999,126,34,42,40,9,4
SPTAN1,408.885,397.032,1025.231,1200.449,416.521,127.639,476.013,101.283,36.04
LINC01706,0,0,0,17,3,6,5,0,2
AC009902.1,0,0,2,7,0,0,8,0,0
CD48,820,421,704.449,2204.795,400.255,64,340.737,32,10
MBL3P,0,0,1,12.465,2,1,7,3,0
AC016074.1,0,2,10,33,12,13,12,0,2
URAD,0,1,1,7,1,7,3,1,0
AP001330.2,7.545,7.247,69.542,45.938,27.426,14.852,15.354,6.452,2.019
MIR1305,0,1,0,1,0,2,5,0,0
AC004997.1,3.784,1.562,5.434,0,0,0,0,0,0
RPL31P45,0,2,0,11,8,6,3,0,1
LINC00893,53.77,64.165,179.491,120.926,53.974,34.39,50.701,18.977,2.894
U91328.1,0,0,1,4,2,0,1,1,0
TMEM109,61,69,61,81,45,15,27,6,3
AL590556.2,0,0,2,9,5,6,11,1,1
FAM172A,448.579,283,775.055,1267.171,354,69.001,261,55,31
NTNG2,242.864,251.107,419.267,679.05,158,75.146,192.604,21.838,8.248
SLMAP,978.049,775.49,2426.967,2606.183,960.708,324.413,837.56,168.706,72.264
LGALS2,29,34,79,78,31,8,36,24,6
PRELID3BP6,0,0,5,11,6,4,5,1,2
BNIP3P30,0,1,2,16.055,0,0,2.099,0,0
PHF13,76,65,106,117,58,16,38,8,3
DCTN3,130.509,123.776,294.688,278.585,121.337,37.888,88.109,18.556,8.456
AC093524.1,0,0,6,33,6,2,9,0,0
BOK,5,2,9,19,6,8,10,5,0
MIR6833,0,0,0,2,2,0,1,0,0
AC090132.1,0,1,3,34,5,9,12,5,3
ZNF185,128,140,212,357,156,30,111,26,5
SLC35E2B,1282.79,1384.049,2675.391,950.509,541.663,106.295,343.756,106.4,37.571
CICP23,2.498,2.11,21.547,15.031,12.053,0,0,12.611,0
AC018816.1,1,7,8,42.999,17,7,11,7.001,3
AC010733.1,8.14,0,38.354,72.648,17.47,2.032,11.12,2,0
AP003400.5,0,4,3,12,2,2,4,1,3
AC092117.2,62.005,137.736,355.005,299.846,121.746,57.868,75.453,28.174,13.836
DPH1,131.717,197.337,407.694,470.034,218.554,44.873,220.084,25.279,6.808
RPL34P18,0,0,3.349,8.359,3.308,4.442,1.069,1.383,1.554
AC015795.2,2,1,18.144,14.812,4.2,3,4.146,0,0
